44,24
29,32
35,3
3,34
41,25
15,27
3,28
5,47
25,49
12,3
35,46
1,21
31,36
49,6
34,3
13,4
17,3
6,34
26,44
17,8
2,10
48,27
49,13
28,31
45,12
36,32
25,23
15,48
26,12
47,45
49,9
32,35
2,37
2,46
24,11
31,29
34,45
13,2
28,7
20,36
15,41
41,1
20,2
43,6
32,18
4,15
49,47
38,34
4,42
43,19
15,27
12,21
11,38
40,44
47,35
14,39
45,8
11,0
42,25
8,32
32,41
16,47
43,48
3,39
41,3
0,35
28,46
18,20
5,2
16,19
0,28
46,12
31,10
11,5
28,9
21,14
34,19
29,44
24,26
9,46
42,36
45,39
32,43
44,21
8,29
25,16
48,39
4,32
6,48
24,28
15,17
5,14
25,27
10,17
30,44
6,35
15,12
17,21
34,36
15,29
43,23
5,41
28,0
37,13
5,14
3,5
16,18
9,37
10,0
45,44
49,46
13,6
14,15
22,19
8,40
44,46
38,22
44,12
26,4
0,15
34,18
5,31
32,40
19,24
33,3
23,3
43,41
24,41
38,20
36,42
8,27
1,28
47,41
41,17
0,14
4,44
32,18
32,10
34,39
38,39
28,29
41,23
14,24
19,2
32,39
2,30
39,32
10,33
25,11
12,44
45,34
22,12
9,21
39,29
11,45
30,48
25,7
12,43
37,14
33,44
47,5
28,0
13,36
19,48
22,6
7,11
42,44
34,15
41,10
39,34
22,1
3,14
15,43
0,23
40,17
49,17
24,35
33,45
31,22
34,28
6,3
23,0
9,12
26,10
49,2
37,22
13,9
28,46
30,31
33,15
17,1
13,22
18,40
30,5
46,13
13,3
9,15
22,19
33,38
20,1
9,12
26,48
46,26
10,13
37,48
2,9
12,39
36,0
29,5
23,8
29,20
2,44
30,48
15,17
31,35
27,2
17,48
42,46
26,12
1,43
34,9
36,40
4,39
23,16
39,22
2,34
25,38
22,38
31,16
46,4
37,7
41,19
43,22
41,22
9,43
1,2
5,14
38,41
3,7
43,46
11,34
36,4
47,28
26,12
18,19
40,31
35,34
24,36
41,47
46,26
16,47
43,12
36,6
43,2
47,27
31,19
26,20
38,20
43,4
47,31
39,21
15,0
38,30
17,20
32,21
7,37
44,13
32,4
6,19
37,29
14,32
20,47
48,43
48,6
24,38
13,1
5,45
46,15
7,48
12,31
12,45
12,29
35,7
12,25
14,48
46,2
26,16
15,32
43,45
1,11
49,44
24,9
10,41
6,32
43,6
0,46
47,33
10,4
35,30
24,31
9,6
4,6
0,24
17,7
23,35
6,17
46,38
46,44
39,44
30,6
19,20
48,36
41,9
23,6
29,3
3,39
37,15
11,10
31,38
35,3
43,24
44,9
26,38
33,8
26,19
27,2
22,26
44,21
42,22
45,26
9,16
36,49
23,2
0,24
4,15
29,28
26,41
44,26
48,32
32,18
6,0
24,40
2,41
19,36
39,23
32,11
39,49
14,41
29,45
47,26
12,19
23,44
3,7
20,1
32,20
7,31
0,30
5,26
5,16
